code	producer_version_id	lc	product_name_aa	product_name_af	product_name_ar	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_ja	product_name_lt	product_name_nl	product_name_pl	product_name_pt	product_name_ro	product_name_sr	product_name_th	abbreviated_product_name_fr	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_nl	generic_name_pl	generic_name_pt	generic_name_ro	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_ro	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_ar	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_hr	ingredients_text_lt	ingredients_text_nl	ingredients_text_pl	ingredients_text_pt	ingredients_text_ro	ingredients_text_th	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	arachidic-acid_value	arachidic-acid_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	arachidonic-acid_value	arachidonic-acid_unit	gondoic-acid_value	gondoic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	caffeine_value	caffeine_unit	ph_value	ph_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_shape	packaging_2_material	packaging_3_shape	conservation_conditions_fr	preparation_fr	nutriscore_grade_producer	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
0060410014738		en					Zesty cheese		Zesty cheese																		28g		Bag	en:bag	Doritos	doritos		Snacks, Salty snacks, Appetizers, Chips and fries, Crisps	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps	No gluten	en:no-gluten	Côte d'Ivoire	en:cote-d-ivoire			0												"per 1 package (28 g) pour 1 paouet (28 g) % dally valus aleur quotidienne ciories / calories 50 at/lipides 8 g saturated/ saturés 1 g  trans/trans g 12 %5% cholestero ct.ɔlestérol 0 mg %0% sodium/so dium 190 mg carbohydrate / glucides 17 g 6% fibre/fibres 1 g sugars/sucres 1 g protein/ protéines 2 g vitamin a/ vitamine a 0% 2% /itamin c/vitamine c calcium/calcium iron/fer 2. maltodextrin, whey powder, salt, monosodium calcium hydroxide."										Milk	en:milk			off	100g	100g					535.71428571429	kcal			28.571428571429	g			3.5714285714286	g			60.714285714286	g			3.5714285714286	g							7.1428571428571	g			1.6964285714286	g			0.67857142857144	g					535.71428571429	kcal																																																																	en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	16	unknown		1		-5	-15	1	0																App - yuka, Apps, App - Open Food Facts, App - InFood
4060800183149		de				Sweet chili peper																					125 g	30g	Tüte	en:bag	Doritos	doritos		Imbiss, Salzige Snacks, Vorspeisen, Chips und Pommes Frites, Chips, Mais-Chips	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips			Frankreich, Deutschland	en:france,en:germany			0											"Mais, pflanzliche Öle (Sonnenblume, Raps, Mais in veränderlichen Gewichtsanteilen), Zucker, Aromen, hydrolysiertes _Sojaprotein_, Säureregulator Natriumacetate, Geschmacksverstärker (Mononatriumglutamat, Dinatrium-5'-Ribonucleotide, Kaliumchlorid), Chili-Extrakt, Zwiebelpulver, Salz, Knoblauchpulver, Säuerungsmittel (Citronensäure, Apfelsäure), _Soja_, _Weizen_, Farbstoff Paprikaextrakt."											Gluten, Soja	en:gluten,en:soybeans				100g	100g	2086	kJ			499	kcal			25	g			3.1	g			59	g			5.2	g			5.7	g			6	g			1.1	g			0.44	g					2086	kJ																																																				en:bag													en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	9	b	72		38105	-5	-10	0	0																App - yuka, Apps, App - Open Food Facts, App - smoothie-openfoodfacts
8410199021519		en					Dippas	Dippas																			180 g				Doritos	doritos		Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips	No gluten, No preservatives, Green Dot, No colorings, Recicla amarillo	en:no-gluten,en:no-preservatives,en:green-dot,en:no-colorings,es:recicla-amarillo	Spain	en:spain			0												White corn, vegetable oils (corn oil, sunflower oil), salt.	Maíz blanco, aceites vegetales (maíz, girasol), sal											Soybeans	en:soybeans		100g	100g					494	kcal			24.2	g			3	g			59.9	g			1.1	g			4.4	g			7	g			0.72	g			0.288	g					494	kcal																																																																	en:appetizers	en:salty-snacks,en:appetizers	3	en:3-processed-foods	c	7	b	67	1	38105	-5	-15	1	0																App - yuka, Apps, App - El CoCo, App - InFood, App - IsVe, App - smoothie-openfoodfacts
9310015241932		en					Doritos Mexicana		doritos																		170 g	27 g (about 11 chips)			Doritos	doritos		Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips, Chips	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips,en:chips	Australian made, Health Star Rating, Health Star Rating 2, Health Star Rating 2.5	en:australian-made,en:health-star-rating,en:health-star-rating-2,en:health-star-rating-2-5	Australia	en:australia	Woolworths,Coles, Big-W	woolworths,coles,big-w	0												Corn, Canola Oil, Lactose (Milk), Salt, Yeast Extract, Flavour Enhancers (621, 951), Mineral Salt (Potassium Chloride), Onion Powder, Spices (Chilli, Cumin, Paprika), Food Acids (Sodium Diacetate, Citric Acid), Tomato Powder, Garlic Powder, Natural Flavour, Natural Colour (Paprika Extract), Sunflower Oil, Antioxidants (Tocopherols, Ascorbic Acid, Rosemary Extract).										Gluten, Milk, Soybeans	en:gluten,en:milk,en:soybeans				100g	serving	2120	kJ							25.2	g			2.8	g			59.8	g			2.6	g							8.4	g			1587.5	mg			635	mg					2120	kJ					15.1	g	7.2	g							0.3	g																			522	mg															1	en:bag												https://doritos.com.au/product/doritos-mexicana-flavoured-corn-chips	en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	15	b	72		38105	-5	-10	0	0																App - yuka, Apps
3168930167860		fr							Doritos pizza peperoni																				"Sachet en plastique à recycler"	fr:sachet-en-plastique-a-recycler	Doritos	doritos		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Surgelés, Chips, Chips de maïs	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:frozen-foods,en:crisps,en:corn-chips	Nutriscore, Nutriscore B	en:nutriscore,en:nutriscore-grade-b	France	en:france			0														Maïs 75%, huiles de colza,  base aromatisante pepperoni [arômes (dont fromage en poudre (lait), lactose (lait), protéine de petit-lait, lait écrémé en poudre, sel, exhausteurs de goût (glutamate monosodique, 5'ribonucleotide disodique ), chlorure de potassium, épices, ail en poudre, oignon en poudre, correcteurs d'acidité (acide citrique, acide malique), tomate en poudre, colorants (extrait de paprika, bixine de rocou, caramel ordinaire), herbes, arome de fumée), antioxydants (extrait de romarin, acide ascorbique, extrait riche en tocophérols, acide citrique)								Lait	en:milk	Soja	en:soybeans	null	100g	100g					480	kcal			22	g			2.1	g			60	g			3.8	g			6.4	g			7	g			0.87	g			0.348	g					480	kcal																																																				en:bag	en:plastic	en:recycle											en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	b	1	b	72		38105	-5	-10	1	0																App - Yuka, Apps, App - smoothie-openfoodfacts
6281036564207		fr							Doritos 48g																						Doritos	doritos		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de maïs	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips			France	en:france			0																											100g	100g					504	kcal			26	g			12	g			59.2	g			4.8	g			2.8	g			7.2	g			1.036	g			0.4144	g					504	kcal																																																																	en:appetizers	en:salty-snacks,en:appetizers		unknown	e	19	b	67	1	38105	-5	-15	1	0																App - yuka, Apps
0028400284769		en					Doritos 92g																								Doritos	doritos		Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips			United States	en:united-states			0												corn, vegetable oil (sunflower, corn, and/or canola oil), maltodextrin (made from corn), salt, whey, cheddar cheese (milk, cheese cultures, salt, enzymes), buttermilk, monosodium glutamate, artificial color (red 40 lake, yellow 6 lake, yellow 6, yellow 5), natural and artificial flavors, romano cheese (cow's milk, cheese cultures, salt, enzymes), onion powder, citric acid, spices, deatrose, tomato powder, potassium salt, whey protein concentrate, lactose, lactic acid, sodium caseinate, sugar, garlic powder, skim milk, red and green bell pepper powder, milk protein concentrate disodium inosinate, and disodium guanylate contains milk ingredients.										Milk	en:milk				100g	100g					150	kcal			8	g			1	g			17	g			1	g							2	g			0.475	g			0.19	g					150	kcal																																																																	en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	b	2	b	67	1	38105	-5	-15	1	0																App - yuka, Apps, App - InFood
0028400077682		fr							Doritos Madium																						Doritos, Fritolay	doritos,fritolay		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de maïs	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips			Belgique	en:belgium			0																											100g	100g					500	kcal			25	g			3.57	g			64.28	g			3.57	g							7.14	g			0.96	g			0.384	g					500	kcal																																																																	en:appetizers	en:salty-snacks,en:appetizers		unknown	d	13	b	67	1	38105	-5	-15	1	0																App - yuka, Apps
3168930009184	001	fr		Doritos					Doritos									Doritos nature 170g				Tortilla chips de maïs goût nature					170 g	30 g	Plastique, Sachet, Sous atmosphère protectrice	en:plastic,en:bag,en:protective-gas	Doritos	doritos		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de maïs	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips	Point Vert, Nutriscore, Nutriscore B, Triman	en:green-dot,en:nutriscore,en:nutriscore-grade-b,fr:triman	France	en:france	Magasins U,Franprix,E.Leclerc,carrefour.fr	magasins-u,franprix,e-leclerc,carrefour-fr	0										"الذرة (%79) ، الزيوت النباتية (عباد الشمس ، بذور اللفت ، الذرة بنسب متغيرة) ، الملح. آر الات ت والممرا"		maize (79%), vegetable oils (maize, sunflower, rapeseed in varying proportions), salt,		Maïs (79%), huiles végétales (mais, tournesol, colza en proportion variable), sel.										Gluten, Soja	en:gluten,en:soybeans		100g	100g	2044	kJ			488	kcal			23	g			2.5	g			61	g			1.2	g			6.3	g			6.2	g			0.67	g			0.268	g			0	% vol	2044	kJ																																																			1	en:bag	en:plastic	en:recycle		5.8				Conserver au sec.	A consommer sans préparation	c	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX	https://doritos.fr/produits/detail/tortillas-gout-nature	en:appetizers	en:salty-snacks,en:appetizers	3	en:3-processed-foods	b	2	b	72		38105	-5	-10	1	0								3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:53:36+01:00	PEPSICO FRANCE	001	2021-12-14T12:53:36+01:00	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases, Producers, Producer - pepsico-france, Database - Equadis, App - InFood, App - Open Food Facts, App - smoothie-openfoodfacts
3168930009245	001	en							Doritos Tortilla chips goût nature le paquet de 170 g									Doritos nature 170g+10% offert				Tortilla chips de maïs goût nature					187 g	30 g (pour: 30 g)	"Bag, fr:Point vert, fr:Sachet à jeter, nl:fr’Pensez au tri!"	en:bag,fr:point-vert,fr:sachet-a-jeter,nl:fr-pensez-au-tri	Doritos	doritos		Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips	Green Dot, Nutriscore, Nutriscore Grade C	en:green-dot,en:nutriscore,en:nutriscore-grade-c	France	en:france			0												maize (79%),vegetable oils (sunflower, rapeseed, maize, in variable proportion),salt		Maïs (79%),huiles végétales (tournesol, colza, maïs, en proportion variable),sel										Gluten, Soybeans	en:gluten,en:soybeans		100g	100g	2044	kJ			488	kcal			23	g			2.8	g			61	g			1.2	g			6.3	g			6.2	g			0.75	g			0.3	g					2044	kJ																																																			1	en:bag	en:plastic	en:discard		6				Conserver au sec.	A consommer sans préparation	c	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	3	en:3-processed-foods	c	6	b	72		38105	-5	-10	1	0								3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:53:13+01:00	PEPSICO FRANCE	001	2021-12-14T12:53:13+01:00	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases, Producers, Producer - pepsico-france, Database - Equadis, App - InFood, App - smoothie-openfoodfacts
