code	producer_version_id	lc	product_name_bg	product_name_cs	product_name_de	product_name_el	product_name_en	product_name_fr	product_name_hr	product_name_hu	product_name_nl	product_name_pl	product_name_ro	product_name_th	abbreviated_product_name_fr	generic_name_bg	generic_name_cs	generic_name_en	generic_name_fr	generic_name_pl	generic_name_th	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_fr	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_bg	ingredients_text_cs	ingredients_text_de	ingredients_text_el	ingredients_text_en	ingredients_text_fr	ingredients_text_hr	ingredients_text_hu	ingredients_text_lt	ingredients_text_nl	ingredients_text_pl	ingredients_text_ro	ingredients_text_th	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_shape	packaging_3_shape	conservation_conditions_fr	preparation_fr	nutriscore_grade_producer	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
3168930501732	001	fr						3D  bugles goût bacon							Lay's 3d's bacon 2x85g+15% offert				"Produit soufflé à base de maïs goût bacon"			196 g	30 g	Plastique, Sachet	en:plastic,en:bag	Bénénuts, 3D's Bugles, LAYS	benenuts,3d-s-bugles,lays	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Biscuits apéritifs, Biscuits apéritifs soufflés, Biscuits apéritifs soufflés à base de maïs"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:crackers,en:puffed-salty-snacks,en:puffed-salty-snacks-made-from-maize	Sans arômes artificiels, Sans conservateurs, Point Vert, Sans colorants, Nutriscore, Nutriscore D	en:no-artificial-flavors,en:no-preservatives,en:green-dot,en:no-colorings,en:nutriscore,en:nutriscore-grade-d	France	en:france			0													corn, sunflower oil, bacon flavoring base [natural flavor, whey powder, hydrolyzed vegetable protein (contains soy), smoked yeast, dextrose, smoke flavor, locust bean flour, acidity regulator (citric acid), celery seed, color (paprika extract), antioxidant (rosemary extract)],salt	"Maïs,huile de tournesol,base aromatisante bacon [arôme naturel, poudre de petit-LAIT, protéine végétale hydrolysée (contient du SOJA), levure fumée, dextrose, arôme de fumée, farine de caroube, correcteur d'acidité (acide citrique), graine de CÉLERI, colorant (extrait de paprika), antioxydant (extrait de romarin)],sel"								Céleri, Gluten, Lait, Soja	en:celery,en:gluten,en:milk,en:soybeans				100g	100g	2220	kJ	486	kcal	30	g	2.7	g	59	g	5	g	1.7	g	5.6	g	1.7	g	0.68	g			2220	kJ	27	g	2.3	g																		en:bag	en:plastic						"À conserver à l'abri de la chaleur et de l'humidité."	A consommer sans préparation	d	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	15	b	72		38400	-5	-10	1	0		3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:41:31+01:00	PEPSICO FRANCE	001	2021-12-14T12:41:31+01:00	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases, Producers, Producer - pepsico-france, Database - Equadis, App - InFood
3168930164050		fr						Chips saveur barbecue							Lays chips barbecue 370g mf				Chips de pommes de terre saveur barbecue			370 g	30g	Plastique, Sachet, Sachet en plastique	en:plastic,en:bag,fr:sachet-en-plastique	Lay's, Lays	lay-s,lays	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Surgelés, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips barbecue, Chips de pommes de terre à l'huile de tournesol, Apéritif"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:frozen-foods,en:crisps,en:potato-crisps,en:flavoured-potato-crisps,en:barbecue-crisps,en:potato-crisps-in-sunflower-oil,fr:aperitif	Sans conservateurs, Point Vert, Sans colorants, Nutriscore, Nutriscore C	en:no-preservatives,en:green-dot,en:no-colorings,en:nutriscore,en:nutriscore-grade-c	France	en:france			0														Pommes de terre,huiles végétales (tournesol, colza, maïs, en proportion variable),base aromatisante barbecue [sucre, arôme (dont SOJA), paprika, poudre d'oignon, poudre de tomate, poudre d'ail, correcteurs d'acidité (acide citrique, acide malique), colorant (extrait de paprika), arômes de fumée],sel								Soja	en:soybeans			true	100g	100g	2096	kJ	501	kcal	28	g	3.1	g	54	g	2.8	g	4.4	g	6.2	g	1.1	g	0.44	g			2096	kJ																						en:bag	en:plastic						"Pour préserver toute la saveur et le croustillant des chips, conservez à l'abri de la lumière et dégustez dans les 7 jours après ouverture."	1 Ouvrir le sachet 2 Décoller la languette 3 Enrouler le haut du sachet 4 Recoller pour refermer	c	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	9	b	72		4004	-5	-10	1	0		3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:51:49+01:00	PEPSICO FRANCE		2021-12-14T12:51:49+01:00	App - yuka, Apps, Producers, Producer - pepsico-france, Database - Equadis, Database - GDSN, Databases
3168930164081		fr						Lay's saveur poulet rôti maxi format							Lays chips poulet 370g				Chips de pommes de terre saveur poulet			370 g	30g	Plastique, Sachet	en:plastic,en:bag	Lay's poulet rôti,Lays	lay-s-poulet-roti,lays	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips au poulet, en:Apéritif"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps,en:flavoured-potato-crisps,en:roasted-chicken-and-thyme-crisps,en:aperitif	Sans conservateurs, Point Vert, Sans colorants, Nutriscore, Nutriscore C	en:no-preservatives,en:green-dot,en:no-colorings,en:nutriscore,en:nutriscore-grade-c	France	en:france			0														Pommes de terre,huiles végétales (tournesol, colza, maïs en proportion variable),base aromatisante poulet rôti [poudre de levure, oignon en poudre, ail en poudre, extrait de levure, arômes, chlorure de potassium, sauge, colorant (extrait de paprika), antioxydant (extrait de romarin],sel													100g	100g	2218	kJ	532	kcal	28	g	3.4	g	53	g	1.3	g	4.4	g	6.3	g	1.4	g	0.56	g			2218	kJ																						en:bag	en:plastic						"Pour préserver toute la saveur et le croustillant des chips, conservez à l'abri de la lumière et dégustez dans les 7 jours après ouverture."	1 Ouvrir le sachet 2 Décoller la languette 3 Enrouler le haut du sachet 4 Recoller pour refermer	c	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	11	b	72		4004	-5	-10	1	0		3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:51:38+01:00	PEPSICO FRANCE		2021-12-14T12:51:38+01:00	App - yuka, Apps, Producers, Producer - pepsico-france, Database - Equadis, Database - GDSN, Databases, App - Open Food Facts, App - smoothie-openfoodfacts
6009710720622		en					Potato Chips salted															120g	120.0g			Lays	lays	Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps			Germany, South Africa	en:germany,en:south-africa			0													"potatoes, vegetable oil (palm fruit and/or maize germ or sunflower seed) with antioxidant (tbhq), salt, maltodextrin, anticaking agent (e551)

may contain soya"											Soybeans	en:soybeans		100g	100g			529	kcal	35	g	13.6	g	46	g	0.7	g	4.8	g	7.4	g	1.32	g	0.528	g			529	kcal																																		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	16	b	67	1	4004	-5	-15	1	0										App - Yuka, Apps, App - smoothie-openfoodfacts, App - InFood
3168930003359		en					Chips Lays Nature	Lay's Nature							Chips nature 145g				Chips de pommes de terre			145 g	30 g	Bag	en:bag	Lay's, Lays	lay-s,lays	Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps, Potato crisps in sunflower oil	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps,en:potato-crisps-in-sunflower-oil	No preservatives, Green Dot, No colorings, Nutriscore, Nutriscore Grade C	en:no-preservatives,en:green-dot,en:no-colorings,en:nutriscore,en:nutriscore-grade-c	France, Guadeloupe, Martinique	en:france,en:guadeloupe,en:martinique			0													potatoes, vegetable oils 34% (sunflower, rapeseed), salt,	Pommes de terre,huiles végétales (tournesol, colza, maïs en proportion variable),sel													100g	100g	2305	kJ	551	kcal	34	g	4.2	g	53	g	0.5	g	4.2	g	6.3	g	1.1	g	0.44	g			2305	kJ																													"Pour préserver toute la saveur et le croustillant des chips, conservez à l'abri de la lumière et dégustez dans les 7 jours après ouverture."	A consommer sans préparation	c	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	3	en:3-processed-foods	c	10	b	67	1	4004	-5	-15	1	0		3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:50:49+01:00	PEPSICO FRANCE		2021-12-14T12:50:49+01:00	App - yuka, Apps, Producers, Producer - pepsico-france, Database - Equadis, Database - GDSN, Databases, App - InFood
3168930007142	001	fr						Lay's 3D's Bugles goût nature format familial							LAY'S 3D'S SEL 150G				"Produit soufflé à base de maïs goût nature"			150 g	30 g	Plastique, Sachet, Sachet en plastique	en:plastic,en:bag,fr:sachet-en-plastique	Bénénuts, 3D's Bugles, LAYS	benenuts,3d-s-bugles,lays	"Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, en:Amuse-gueules, en:Apéritif, en:Biscuits apéritifs, en:Biscuits apéritifs soufflés, en:Biscuits apéritifs soufflés à base de maïs, en:Snacks salés"	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:amuse-gueules,en:aperitif,en:biscuits-aperitifs,en:biscuits-aperitifs-souffles,en:biscuits-aperitifs-souffles-a-base-de-mais,en:snacks-sales	Sans arômes artificiels, Point Vert, Nutriscore, Nutriscore D	en:no-artificial-flavors,en:green-dot,en:nutriscore,en:nutriscore-grade-d	France	en:france	Magasins U, carrefour.fr	magasins-u,carrefour-fr	0													"corn flour, sunflower oil, maltodextrin, natural flavoring base [natural flavors, black pepper, sugar, onion powder, garlic powder, acidity regulators (citric acid, sodium acetate), color (paprika extract)1, salt, منتج الذرة المقرمشة بالطعم الطبيعي المكونات: دقيق الذرۃ، زيت عباد الشمس، مالتودیکسترین، نکهات نکهات نکهات نات ٧لشمس، مالتودیکسترین، نکهات نکهات ٹباد الشمس، مالتودیکسترین، نکهات نباد الشمس، مالتودیکسترین، نکهات نباد الشمس، مالتودیکسترین، نکهات نباد الشمس، مالتودیکسترین، نکهات ـودیکهات ٹباد الشمس، مالتودیکسترین، نکهات نباد الشمس، مالشمس، مالتودیکسترین، نکهات واات والشمس، ناسية طبيعية نکهات طبيعية، فلفل أسود، سكر، مسحوق البصل، الحموضة )حمض الستريك، أسيتات منظمات وق الثوم، م(، ملون )مستخلص الفلفل الحلو([، ملح,  nutritional values μουεννes per 100g for 309 for energy 651 kl"	Farine de maïs,huile de tournesol,maltodextrine,base aromatisante nature [arômes naturels, poivre noir, sucre, oignon en poudre, ail en poudre, correcteurs d'acidité (acide citrique, acétate de sodium), colorant (extrait de paprika)],sel								Gluten	en:gluten			null	100g	100g	2171	kJ	519	kcal	31	g	3	g	55	g	3.5	g	0.7	g	5.4	g	2.1	g	0.84	g			2171	kJ	28	g	2.3	g																		en:bag	en:plastic						"À conserver à l'abri de la chaleur et de l'humidité"	A consommer sans préparation	d	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX	http://www.benenuts.fr/biscuits-souffles/3ds-bugles-gout-nature.html	en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	17	unknown				-5	-10	1	0		3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:48:03+01:00	PEPSICO FRANCE	001	2021-12-14T12:48:03+01:00	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases, Producers, Producer - pepsico-france, Database - Equadis, App - InFood
3168930009344		fr						Lay's saveur barbecue lot de 2 x 100 g							Chips barbecue 100gx2				Chips de pommes de terre saveur barbecue, aromatisées			200 g	30 g	"Plastique, Sachet, en:Green dot, Pensez au tri!, Sachet plastique à jeter"	en:plastic,en:bag,en:green-dot,fr:pensez-au-tri,fr:sachet-plastique-a-jeter	Lay's,Pepsico, Lays	lay-s,pepsico,lays	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips barbecue"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps,en:flavoured-potato-crisps,en:barbecue-crisps	Sans conservateurs, Point Vert, Sans colorants artificiels, Sans colorants, Sans huile de palme	en:no-preservatives,en:green-dot,en:no-artificial-colors,en:no-colorings,en:no-palm-oil	France	en:france			0														"Pommes de terre 61%,huiles végétales (tournesol, colza, en proportion variable),base aromatisante barbecue [sucre, arôme (dont SOJA), chapelure (de BLÉ), exhausteur de goût (glutamate de sodium), paprika, poudre d'oignon, poudre de tomate, poudre d'ail, correcteurs d'acidité (acide citrique, acide malique), colorant (extrait de paprika), arômes de fumée],sel"								Gluten, Soja	en:gluten,en:soybeans				100g	100g	2221	kJ	532	kcal	32	g	2.6	g	52	g	2.8	g	4.4	g	6.4	g	1.3	g	0.52	g			2221	kJ																						en:bag	en:plastic	en:discard					"Pour préserver toute la saveur et le croustillant des chips, conservez à l'abri de la lumière et dégustez dans les 7 jours après ouverture."	A consommer sans préparation		PepsiCo France SNC, 420 rue d'Estienne d'Orves 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	9	b	72		4004	-5	-10	1	0		3502110007360	10000177		true	2019-11-05T18:39:11+01:00	PEPSICO FRANCE			Database - CodeOnline, Database - GDSN, Databases, App - Yuka, Apps
3168930008477		fr						Lay's Deep ridged saveur sour cream & onion							Chips Lay's Deep Ridged Cream 120g				Chips de pommes de terre extra ondulées saveur crème acidulée et oignon			120 g	30 g	Plastique, Sachet	en:plastic,en:bag	Lay's, Lays	lay-s,lays	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps,en:flavoured-potato-crisps	Sans conservateurs, Point Vert, Sans colorants artificiels, Sans colorants, Sans huile de palme	en:no-preservatives,en:green-dot,en:no-artificial-colors,en:no-colorings,en:no-palm-oil	France	en:france	Cora, Magasins U	cora,magasins-u	0														Pommes de terre,huiles végétales 30% (tournesol, colza),base aromatisante crème acidulée et oignon,sel,la base aromatisante crème acidulée et oignon contient: sucre, poudre d'oignon, sel, arômes (dont LAIT), chlorure de potassium, herbes et épices								Lait	en:milk				100g	100g	2171	kJ	520	kcal	31	g	2.7	g	52	g	2	g	4.4	g	6.5	g	1.1	g	0.44	g			2171	kJ																						en:bag	en:plastic						"À conserver à l'abri de la chaleur et de l'humidité."	A consommer sans préparation		PepsiCo France SNC, 420 rue d'Estienne d'Orves 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	8	b	72		4004	-5	-10	1	0		3502110007360	10000177		true	2019-11-05T18:34:08+01:00	PEPSICO FRANCE			App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases
3168930008460		fr						Lay's saveur poulet rôti 240 g + 10% offert							Chips poulet roti 240g+10% offert				Chips de pommes de terre au poulet rôti, aromatisées			264 g	30 g	Plastique, Sachet	en:plastic,en:bag	Lay's, Lays	lay-s,lays	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips au poulet"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps,en:flavoured-potato-crisps,en:roasted-chicken-and-thyme-crisps	Sans conservateurs, Point Vert, Sans colorants artificiels, Sans colorants, Sans huile de palme	en:no-preservatives,en:green-dot,en:no-artificial-colors,en:no-colorings,en:no-palm-oil	France	en:france			0														Pommes de terre 61%,huiles végétales (tournesol, colza, en proportion variable),base aromatisante poulet rôti [arômes (dont LAIT), oignon en poudre, sucre, viande de poulet en poudre et graisse de poulet, épices et plantes aromatiques (dont persil), acidifiant (acide citrique)],sel								Lait	en:milk				100g	100g	2221	kJ	533	kcal	32	g	2.7	g	52	g	2.2	g	4.2	g	6.4	g	1.5	g	0.6	g			2221	kJ																						en:bag	en:plastic						"Pour préserver toute la saveur et le croustillant des chips, conservez à l'abri de la lumière et dégustez dans les 7 jours après ouverture."	A consommer sans préparation		PepsiCo France SNC, 420, rue d'Estienne d'Orves 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	10	b	72		4004	-5	-10	1	0		3502110007360	10000177		true	2019-11-05T18:34:19+01:00	PEPSICO FRANCE			App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases
3168930005858	001	fr						Lay's saveur barbecue							?chips bbq wip 120x27.5gr fr				Chips de pommes de terre saveur barbecue			27.5 g	27.5 g	Sachet en plastique	fr:sachet-en-plastique	Lay's,Lays	lay-s,lays	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de pommes de terre, Chips de pommes de terre aromatisées, Chips barbecue"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps,en:flavoured-potato-crisps,en:barbecue-crisps	Sans conservateurs, Point Vert, Sans colorants artificiels, Sans colorants, Sans huile de palme, Nutriscore, Nutriscore C	en:no-preservatives,en:green-dot,en:no-artificial-colors,en:no-colorings,en:no-palm-oil,en:nutriscore,en:nutriscore-grade-c	France	en:france			0													potatoes, vegetable oils, 32 % (sunflower, rapeseed), base flavouring barbecue [sugar, flavour (contains soy ), bread crumbs (wheat ), flavour enhancer (sodium glutamate), paprika, onion powder, tomato powder, garlic powder, corrector of acidity (citric acid, malic acid), colouring agent (paprika extract), smoke flavourings, salt,	Pommes de terre,huiles végétales (tournesol, colza, maïs, en proportion variable),base aromatisante barbecue [sucre, arôme (dont SOJA), paprika, poudre d'oignon, poudre de tomate, poudre d'ail, correcteurs d'acidité (acide citrique, acide malique), colorant (extrait de paprika), arômes de fumée],sel								Gluten, Soja	en:gluten,en:soybeans				100g	100g	2096	kJ	501	kcal	28	g	3.1	g	54	g	2.8	g	4.4	g	6.2	g	1.1	g	0.44	g			2096	kJ																					1	en:bag	en:plastic	en:discard					"Pour préserver toute la saveur et le croustillant des chips, conservez à l'abri de la lumière et dégustez dans les 7 jours après ouverture."	A consommer sans préparation	c	PepsiCo France, 15 boulevard Charles de Gaulle 92705 Colombes CEDEX		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	9	b	72		4004	-5	-10	1	0		3502110007360	10000177	"Chips/Amuse-gueules/Mélanges d'Aliments à grignoter - Naturels et Extrudés (Longue Cons.)"	true	2021-12-14T12:48:50+01:00	PEPSICO FRANCE	001	2021-12-14T12:48:50+01:00	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases, Producers, Producer - pepsico-france, Database - Equadis, App - InFood, App - smoothie-openfoodfacts
