code	lc	product_name_ar	product_name_bg	product_name_da	product_name_de	product_name_en	product_name_es	product_name_et	product_name_fi	product_name_fr	product_name_id	product_name_it	product_name_ko	product_name_ms	product_name_nb	product_name_nl	product_name_no	product_name_pl	product_name_pt	product_name_ru	product_name_sv	product_name_th	product_name_xx	product_name_zh	abbreviated_product_name_fr	generic_name_da	generic_name_de	generic_name_el	generic_name_en	generic_name_es	generic_name_fi	generic_name_fr	generic_name_it	generic_name_nl	generic_name_no	generic_name_pl	generic_name_pt	generic_name_ru	generic_name_sv	generic_name_th	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_fr	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_ar	ingredients_text_da	ingredients_text_de	ingredients_text_el	ingredients_text_en	ingredients_text_es	ingredients_text_et	ingredients_text_fi	ingredients_text_fr	ingredients_text_id	ingredients_text_it	ingredients_text_ja	ingredients_text_ko	ingredients_text_ms	ingredients_text_nb	ingredients_text_nl	ingredients_text_pt	ingredients_text_ru	ingredients_text_sv	ingredients_text_th	ingredients_text_xx	ingredients_text_zh	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy-from-fat_value	energy-from-fat_unit	butyric-acid_value	butyric-acid_unit	arachidic-acid_value	arachidic-acid_unit	behenic-acid_value	behenic-acid_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	arachidonic-acid_value	arachidonic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	soluble-fiber_value	soluble-fiber_unit	insoluble-fiber_value	insoluble-fiber_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	folates_value	folates_unit	vitamin-b12_value	vitamin-b12_unit	biotin_value	biotin_unit	bicarbonate_value	bicarbonate_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	zinc_value	zinc_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_weight_measured	packaging_4_number_of_units	packaging_4_shape	packaging_4_material	packaging_4_recycling	packaging_4_weight_measured	packaging_5_material	conservation_conditions_fr	nutriscore_grade_producer	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	data_sources
5053990150038	en				Salt & Pepper	Salt & Pepper				Pringles sel et poivre					Salt & Pepper																										200 g	30 g	Can, Paper and cardboard / Plastic / Aluminium	en:can,en:paper-and-cardboard-plastic-aluminium	Pringles	pringles		Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Meals, Crisps, Potato crisps, Flavoured potato crisps, Salt and pepper crisps, Salty snacks made from potato	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:meals,en:crisps,en:potato-crisps,en:flavoured-potato-crisps,en:salt-and-pepper-crisps,en:salty-snacks-made-from-potato	Vegetarisch	en:vegetarisch	Belgium, Germany, Norway	en:belgium,en:germany,en:norway	REWE,Joker	rewe,joker	0					Belgium	belgium					"Kartoffelpüreepulver, pflanzliche Öle (Sonnenblume, Mais), Reismehl, Weizenstärke, Maismehl, Salz - und Pfefferwürzmischung (Paniermehl {Weizen), Geschmacksverstärker (Mononatriumglutamat, Dinatriumguanylat, Dinatriuminosinat), Speisesalz, Süßmolkenpulver (Milch), teilweise gehärtetes Sonnenblumenöl, Aromen, Hefeextrakt. Pfeffer, Zucker, Laktose ** (Milch), Milcheiweiß), Emulgator (E Maltodextrin, Speisesalz. Farbstoff (Annatto)."		Dehydrated potatoes, vegetable oils (sunflower, corn, rice flour, wheat starch, corn flour, salt and pepper seasoning (flavour enhancers {monosodium glutamate, disodium guanylate, disodium inosinate), salt, pepper, rusk powder (wheat), sweet whey powder (milk), flavourings(milk}, sugar, yeast extract, modified maize starch, glucose syrup, milk proteins), emulsifier (E471), maltodextrin, salt, colour (annatto).										Tørkede poteter, vegetabilske oljer (solsikke, mais), rismel, hvetestivelse, maismel, salt - og pepperkrydderblanding (smaksforsterkere (mononatriumglutamat, dinatriumguanylat, dinatriuminosinat), salt, pepper, pulver av kavring (hvete), sot mysepulver (melk), aromaer (melk), sukker, gjærekstrakt, modifisert maisstivelse, glukosesirup, melkeproteiner), emulgator (E471), maltodextrin, salt, farge (annatto).								Gluten, Milk	en:gluten,en:milk				100g	100g	2221	kJ	532	kcal	32	g	3	g	55	g	1.9	g	2.8	g	4.7	g	2	g	0.8	g			2221	kJ																																																																	en:paper-and-cardboard-plastic-aluminium					en:can	en:metal																		en:one-dish-meals	en:composite-foods,en:one-dish-meals	4	en:4-ultra-processed-food-and-drink-products	d	14	b	67		38405	-5	-15	1	0													App - yuka, Apps, App - Open Food Facts
5053990127733	fr																								PR- Salt & Vinegar 165g							Snack salé au goût sel et vinaigre									165 g	30g			Pringles	pringles		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées, en:Apéritif, en:Chips, en:Chips et frites, en:Snacks salés, en:Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato,en:aperitif,en:chips,en:chips-et-frites,en:snacks-sales,en:tuiles-salees			France	en:france			0																	1.99 0.89 139 1.09 199 0.57 g 7% 10% en/Apport de referenc pa/Dose de VEGEL TM,,2022 KELLOGG Europe Trading Limited www.pringles.com 5 053990 127733 &gt; LID Recycle th Distributed in UK by Kel Orange Tower, Meda Salford, Greater Manches M50 2HF, UK.														Gluten, Lait	en:gluten,en:milk				100g	100g	2102	kJ	525	kcal	31	g	2.9	g	56	g	2.3	g	2.8	g	4.2	g	1.9	g	0.76	g			2102	kJ																																																																en:box																					"À conserver dans un endroit sec"		Service Conseil Consommateurs, Kellogg's Produits Alimentaires S.A.S. - Immeuble Neptune - 1 rue Galilée 93160 Noisy-le-Grand (France)		en:appetizers	en:salty-snacks,en:appetizers		unknown	d	14	b	72		38405	-5	-10	0	0								3011594700105	10000177	false	2020-03-31T15:26:49+02:00	KELLOGG'S	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases, App - smoothie-openfoodfacts
0038000138638	en					Pringles pizza large																																				1 ONZ (28 g)			Pringles	pringles	The Kellogg Company	Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato, Snacks  Salty snacks  Appetizers  Chips and fries  Crisps  Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato,en:snacks-salty-snacks-appetizers-chips-and-fries-crisps-tuiles-salees	No artificial flavors	en:no-artificial-flavors	United States	en:united-states			0													dried potatoes, vegetable oil (contains one or more of the following: corn oil, cottonseed oil, soybean oil and/or sunflower oil), degerminated yellow corn flour, cornstarch, rice flour, maltodextrin, mon - and diglycerides, contains 2% or less of salt, whey, dextrose, natural flavors, monosodium glutamate, tomato powder, onion powder, cheddar cheese (milk, salt, cultures, enzymes), sugar, spices, coconut oil, garlic powder, buttermilk, citric acid, yeast extract, malic acid, cream, paprika extract (color), red 40 lake, sodium caseinate, lactic acid, wheat starch,																		Milk, Soybeans	en:milk,en:soybeans				100g	100g			536	kcal	32.142857142857	g	8.9285714285714	g	57.142857142857	g	3.5714285714286	g	3.5714285714286	g	3.5714285714286	g	1.6071428571429	g	0.64285714285716	g			536	kcal									6.2	g	14.7	g					0	g	0	mg			0	g	0	g	0	IU			12.9	mg	0	mg	0.07	mg	2.4	mg	0.31	mg			19	µg	0	µg					413	mg	0	mg	93	mg	0	mg	25	mg	0.5	mg																											en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	18	b	67	1	38405	-5	-15	1	0		2017-11-01T00:00:00Z	Chips, Pretzels & Snacks	LI	654662	2017-11-01T00:00:00Z	2019-12-06T00:00:00Z						App - yuka, Apps, Databases, database-usda, App - InFood
5053990107339	fr					Pringles Original																			Original mini 40g							Snack salé									40g	40 g	Boîte	en:box	PRINGLES,PRINGLES ORIGINAL	pringles,pringles-original		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato	Végétarien, Végétalien, Point Vert, Triman	en:vegetarian,en:vegan,en:green-dot,fr:triman	Belgique, France, Allemagne, Maroc, Roumanie, Espagne, Suisse	en:belgium,en:france,en:germany,en:morocco,en:romania,en:spain,en:switzerland	Magasins U,Relay	magasins-u,relay	0																	PRINGLES ORIGINAL 40 g														Gluten	en:gluten				100g	100g	2227	kJ	534	kcal	31	g	6.6	g	56	g	1.4	g	3.5	g	5.9	g	1.1	g	0.44	g			2227	kJ																																																															1	en:box	en:cardboard	en:recycle		12.6	1	en:lid	en:pp-5-polypropylene	en:recycle	2.9	1	en:seal	en:plastic	en:recycle	0.6	1	en:backing	en:metal	en:recycle	7.3		"À conserver dans un endroit sec"		Service Conseil Consommateurs, Kellogg's Produits Alimentaires S.A.S. - Immeuble Neptune - 1 rue Galilée 93160 Noisy-le-Grand (France)	https://www.pringles.com/fr/products/classiques/pringles-original-200g.html	en:appetizers	en:salty-snacks,en:appetizers		unknown	d	13	b	69		38405	-5	-13	0	0								3011594700105	10000177	false	2020-03-31T15:23:10+02:00	KELLOGG'S	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases, App - InFood, App - Speisekammer, App - smoothie-openfoodfacts
5053990110285	fr									Tortilla Sour Cream																						Snack salé au goût crème acidulée									180g	30g	Boîte, Carton	en:box,en:cardboard	Pringles	pringles		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de maïs, Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips,en:salty-snacks-made-from-potato	Végétarien, Fabriqué en Belgique, en:Verified, Win a holiday to Mexico	en:vegetarian,en:made-in-belgium,en:verified,fr:win-a-holiday-to-mexico	France, Suisse	en:france,en:switzerland	Carrefour	carrefour	0					Belgique,Mechelen	belgique,mechelen							corn flour (56%), vegetable oils (sunflower, corn), seasoning sour cream (onion powder, glucose syrup, milk protein , dextrose, flavour enhancers (monosodium glutamate, guanylate disodium, inosinate disodium), sour cream powder ( milk ), flavourings, yogurt powder ( milk ), acidity regulators (citric acid, lactic acid, malic acid)), maltodextrin, emulsifier (e471), sugar, black bean powder, salt, corrector of acidity (sodium bicarbonate), aroma of corn, dextrose of wheat ,				farine de maïs (56%), huiles végétales (tournesol, maïs), assaisonnement crème acidulée (oignon en poudre, sirop de glucose, protéines de _lait_, dextrose, exhausteurs de goût (glutamate monosodique, guanylate disodique, inosinate disodique), crème acidulée en poudre (_lait_), arômes, yaourt en poudre (_lait_), acidifiants (acide citrique, acide lactique, acide malique)), maltodextrine, émulsifiant (E471), sucre, haricots noirs en poudre, sel, correcteur d'acidité (bicarbonate de sodium), arôme de maïs, dextrose de _blé_,														Gluten, Lait	en:gluten,en:milk				100g	100g	1994	kJ			29	g	2.8	g	48	g	5.3	g	5.5	g	6.1	g	1.8	g	0.72	g			1994	kJ																																																																en:box	en:cardboard																							https://www.pringles.com/be/fr/products/tortilla/pringles-tortilla-sour-cream-product.html	en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	10	a	81		38405	-5	-1	0	0													Database - FoodRepo / openfood.ch, Databases, App - InFood, Apps
5053990109418	fr									Original (special offer)																															2 * 165 g	30 g	Plastique, Sachet, Carton	en:plastic,en:bag,en:cardboard	Pringles	pringles		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato	Végétarien, Végétalien, Fabriqué en Belgique	en:vegetarian,en:vegan,en:made-in-belgium	France	en:france			0					Belgique	belgique																														100g	100g	2161	kJ	516	kcal	33	g	3.4	g	51	g	1.4	g	2.6	g	3.8	g	1.4	g	0.56	g			2161	kJ																																																																en:bag	en:plastic						en:cardboard																		en:appetizers	en:salty-snacks,en:appetizers		unknown	d	13	b	71		38405	-5	-11	1	0													
5053990110889	fr									Pringles emmental																															190g				Pringles	pringles		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato	Fabriqué en Belgique	en:made-in-belgium	France, Luxembourg	en:france,en:luxembourg			0																																				100g	100g			509	kcal			3.5				4.3		2.5		4.4		1.6		0.64	g			509	kcal																																																																																									en:appetizers	en:salty-snacks,en:appetizers		unknown			b	67	1	38405	-5	-15	1	0													App - Yuka, Apps
5053990127443	fr									Sweet Paprika																															190 g				Pringles	pringles		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato	Végétarien, Végétalien	en:vegetarian,en:vegan	France	en:france			0																	"SNACK SALÉ AU GOÛT PAPRIKA, INGRÉDIENTS : Pommes de terre déshydratées, huiles végétales (tournesol, maïs), farine de riz, amidon de blé, farine de maïs, assaisonnement paprika (sucre, paprika en poudre, exhausteurs de goût (glutamate monosodique, guanylate disodique, inosinate disodique), levure en poudre, dextrose, oignon en poudre, bouillon en granulés, ail en poudre, colorant (extrait de paprika), acidifiant (acide citrique), extrait de piment), émulsifiant (E471), maltodextrine, sel, colorant (rocou)."														Gluten	en:gluten				100g	100g			501	kcal	31	g	3.4	g	51	g	4	g	2.9	g	4.7	g	1.8	g	0.72	g			501	kcal																																																																																									en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	13	b	67	1	38405	-5	-15	1	0													App - yuka, Apps
5053990113637	fr									Tortilla Chips Original																						Snack salé									160 g	30g	Métal, Boîte, Carton	en:metal,en:box,en:cardboard	Pringles	pringles		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées, en:Apéritif, en:Chips, en:Chips et frites, en:Snacks salés, en:Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato,en:aperitif,en:chips,en:chips-et-frites,en:snacks-sales,en:tuiles-salees	Végétarien, Végétalien, Fabriqué en Belgique, en:Végétalien, en:Végétarien	en:vegetarian,en:vegan,en:made-in-belgium,en:vegetalien,en:vegetarien	en:Francia	en:francia	Simply,Noz,Magasins U	simply,noz,magasins-u	0					Belgique,Mechelen,Belgium	belgique,mechelen,belgium							corn flour (59%), vegetable oils (sunflower, corn), maltodextrin, emulsifier (e471), sugar, black bean powder, salt, corrector of acidity (sodium bicarbonate), aroma of corn, dextrose of wheat ,				Farine de maïs (59%), huiles végétales (tournesol, maïs), maltodextrine, émulsifiant (E471), sucre, haricots noirs en poudre, sel, correcteur d'acidité (bicarbonate de sodium), arôme de maïs, dextrose de _blé_,														Gluten	en:gluten			true	100g	100g			479	kcal	30	g	2.8	g	48	g	3.6	g	5.7	g	5.7	g	1.4	g	0.56	g			479	kcal																																																																en:box	en:cardboard						en:metal																	https://www.pringles.com/be/fr/products/tortilla/pringles-tortilla-original-product.html	en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	c	8	b	71		38405	-5	-11	0	0													App - yuka, Apps, App - InFood
5053990123865	fr				Pringles Classic Paprika	Pringles Classic paprika New				Tuiles Pringles Paprika															PR- Sweet Paprika 190g							Snack salé au goût paprika									190 g	30 g	Boîte, Boîte de conserve ou canette	en:box,en:can	Pringles	pringles		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Tuiles salées	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato	Végétarien, Végétalien	en:vegetarian,en:vegan	France, Allemagne, Suisse	en:france,en:germany,en:switzerland			0											"Kartoffelpüreepulver, pflanzliche Öle (Sonnenblume, Mais), Weizenstärke, Paprika-Würzmischung (Paniermehl {Weizen), Weizenmehl, Hefepulver, Dextrose, Zucker, Geschmacksverstärker {Mononatriumglutamat, Dinatriumguanylat, Dinatriuminosinat}, Paprikapulver, Zwiebelpulver, Aromen, Raucharomen, Knoblauchpulver, Farbstoff (Paprikaextrakt), Säuerungsmittel {Citronensäure}), Emulgator (E471), Maltodextrin, Speisesalz, Farbstoff (Annatto),"						"Pommes de terre déshydratées, huiles végétales (tournesol, maïs), farine de riz, amidon de BLÉ, farine de maïs, assaisonnement paprika (chapelure {BLÉ}, farine de BLÉ, levure en poudre, dextrose, sucre, exhausteurs de goût {glutamate monosodique, inosinate disodique, guanylate disodique}, paprika en poudre, oignon en poudre, arômes, arômes de fumée, ail en poudre, colorant {extrait de paprika}, acidifiant {acide citrique}), émulsifiant (E471), maltodextrine, sel, colorant (rocou)."														Gluten	en:gluten				100g	100g	2101	kJ	502	kcal	31	g	3.4	g	51	g	3.3	g	2.9	g	4.7	g	1.6	g	0.64	g			2101	kJ																																																																en:can	en:metal					en:box															"À conserver dans un endroit sec"		Service Conseil Consommateurs, Kellogg's Produits Alimentaires S.A.S. - Immeuble Neptune - 1 rue Galilée 93160 Noisy-le-Grand (France)		en:appetizers	en:salty-snacks,en:appetizers	4	en:4-ultra-processed-food-and-drink-products	d	13	b	67		38405	-5	-15	0	0								3011594700105	10000177	false	2020-03-31T15:28:22+02:00	KELLOGG'S	App - yuka, Apps, Database - CodeOnline, Database - GDSN, Databases
