code	producer_version_id	lc	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_hu	product_name_it	product_name_nb	product_name_pl	product_name_ru	product_name_se	product_name_sv	abbreviated_product_name_fr	generic_name_de	generic_name_en	generic_name_fr	generic_name_nl	generic_name_sv	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_it	origin_sv	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_it	ingredients_text_nb	ingredients_text_nl	ingredients_text_pl	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	fiber_prepared_value	fiber_prepared_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_shape	packaging_3_material	conservation_conditions_fr	preparation_fr	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
4088600117638		pl									Makaron spagetti																	"Żywność i napoje na bazie roślin, Żywność na bazie roślin, Makarony"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas	"Wyprodukowano we Włoszech"	en:made-in-italy	Polska	en:poland			0																									100g	100g																																																																																	en:cereals	en:cereals-and-potatoes,en:cereals		unknown			unknown		1		-5	-15	1	0																
0062639342159		fr					Gluten Free Spagetti Pasta																		Western Family	western-family				Sans gluten	en:no-gluten	Canada	en:canada			0																									100g	100g					352.94117647059	kcal			1.1764705882353	g			0.58823529411765	g			78.823529411765	g			0	g			1.1764705882353	g			5.8823529411765	g													352.94117647059	kcal																																								unknown			unknown		1		-5	-15	1	0																App - yuka, Apps
8008343890038		fr					Spagetti																		Rummo	rummo		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Pâtes alimentaires"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas	Sans gluten	en:no-gluten	Canada	en:canada			0						Rummo S.p.A - Via dei Grandi Maestri Pastai 1 - 82100 - Benevento (BN) Italia	rummo-s-p-a-via-dei-grandi-maestri-pastai-1-82100-benevento-bn-italia																		100g	100g					341.17647058824	kcal			1.7647058823529	g			1.7647058823529	g			72.941176470588	g			0	g			3.5294117647059	g			5.8823529411765	g			0	g			0	g					341.17647058824	kcal																																					en:cereals	en:cereals-and-potatoes,en:cereals		unknown	a	-1	unknown		1		-5	-15	1	0																App - yuka, Apps
6415712900557		fi				Täysjyväspagetti															500g				Rainbow	rainbow		Kasvipohjaiset ruoat ja juomat, Kasvipohjaiset ruoat, Jyvät ja perunat, Viljat ja viljatuotteet, Pasta, en:Cereal pastas, Durumvehnäpasta, Spagetti, Durumvehnäspagetti	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:durum-wheat-pasta,en:spaghetti,en:durum-wheat-spaghetti	Valmistettu Italiassa, Sydänmerkki	en:made-in-italy,fi:sydänmerkki	Suomi, Ranska	en:finland,en:france			0		Euroopan unioni	en:european-union										_Täysjyvädurumvehnä_ (EU). Saattaa sisältää pieniä määriä kananmunaa.							Gluteeni	en:gluten	Munat	en:eggs		100g	100g					350	kcal			2.5	g			0.6	g			66	g			3.7	g							12	g			0.01	g			0.004	g					350	kcal																																					en:cereals	en:cereals-and-potatoes,en:cereals	1	en:1-unprocessed-or-minimally-processed-foods	a	-1	unknown		1		-5	-15	1	0																App - yuka, Apps
8076800195019	1	it	Capellini n.1	Capellini n.1			Barilla pates capellini n°1 500g		Capellini (Spagetti) Nr. 1					Capellini n°1	BARILLA CAPELLINI 500g	Pâtes alimentaires		Pâtes alimentaires de qualité supérieure	Deegwaren van harde tarwe		500 g	80 g	Scatola, Cartone, Film, 21 PAP, Enveloppage	en:box,en:cardboard,en:film,en:non-corrugated-cardboard,it:enveloppage	Barilla, Nudeln	barilla,nudeln		Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereali e i loro prodotti, Pasta, Paste alimentari di cereali, Pasta secca, Pasta di grano duro, Spaghetti, Capellini	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:dry-pastas,en:durum-wheat-pasta,en:spaghetti,en:capellini	fr:N-1-in-italia	fr:n-1-in-italia	Belgio, Bulgaria, Francia, Germania, Italia, Giappone, Lussemburgo, Svezia, Svizzera, Stati Uniti d'America	en:belgium,en:bulgaria,en:france,en:germany,en:italy,en:japan,en:luxembourg,en:sweden,en:switzerland,en:united-states	Carrefour,Franprix,Magasins U,Delhaize,Coop,carrefour.fr	carrefour,franprix,magasins-u,delhaize,coop,carrefour-fr	0		en:European Union and Non European Union, Italia	en:european-union-and-non-european-union,en:italy	Italy		"Barilla G. e R. Fratelli SpA - Via Mantova 166 - 43122- Parma (PR) Italia,(PR : Parme),Émilie-Romagne,Italie,Grèce"	barilla-g-e-r-fratelli-spa-via-mantova-166-43122-parma-pr-italia,pr-parme,emilie-romagne,italie,grece			"_Hartweizengrieß_, Wasser"	durum wheat semolina, water, may contain traces of eggs if produced in the plant indicated with letter (a),			"Semoule de BLÉ dur, eau. Peut contenir des traces de SOJA et de MOUTARDE."	Semola di grano duro, acqua.		griesmeel van harde _tarwe_, water		durumvete, vatten	Glutine	en:gluten	Soia, de:Moutarde	en:soybeans,de:moutarde		100g	100g	1521	kJ			359	kcal			2	g			0.5	g			71	g			3.5	g			3	g			13	g			0.01	g			0.004	g					1521	kJ																					0	g	1	en:box	en:non-corrugated-cardboard	en:recycle-in-paper-bin		en:film					Conserver dans un endroit frais et sec.	100g de pâtes - 1 litre d'eau - 7g de sel. Faire bouillir l'eau et ajouter le sel. Verser les pâtes et cuire 3 min, en remuant de temps en temps. Egoutter les pâtes et servir.	Service Consommateurs, www.barilla.com, rubrique « nous contacter »	http://www.barilla.fr/produits/Pates/Classiques/Capellini.htm	en:cereals	en:cereals-and-potatoes,en:cereals	1	en:1-unprocessed-or-minimally-processed-foods	a	-4	b	76		9810	-2	-2	0	0								3012288514503	10000242	"Pâtes/Nouilles - Non Prêt à Consommer (Longue Conservation)"	true	2023-07-11T11:23:10+02:00	BARILLA FRANCE SA	1	2023-07-11T11:23:11+02:00	Producers, Producer - Barilla, Database - FoodRepo / openfood.ch, Databases, App - yuka, Apps, Producer - barilla-france-sa, Database - Equadis, Database - GDSN, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer
21100703		de	spagetti cabonara																											Nutriscore	en:nutriscore	Deutschland	en:germany			0																									100g	100g					133	kcal			5.5	g			1.6	g			16	g			1.3	g							4.5	g			1.1	g			0.44	g					133	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Yuka, Apps
20003463		nl	Spaghetti	Spagetti			Spaghetti									"Nudeln aus Hartweizengrieß"	Durum wheat semolina pasta	Pâtes alimentaires au blé dur			500g	100g	Plastic, en:pp-polypropylene, en:Mixed plastic-packet, en:Produkt, en:Sachetplastique, fr:sachet plastique	en:plastic,en:pp-polypropylene,en:mixed-plastic-packet,en:produkt,en:sachetplastique,fr:sachet-plastique	Combino, Lidl	combino,lidl		Plantaardige levensmiddelen en dranken, Plantaardige levensmiddelen, Granen en aardappels, Granen en graanproducten, Pasta, Graanpastas, Durum tarwepastas, Spaghettis, Durum tarwespaghettis	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pastas,en:cereal-pastas,en:durum-wheat-pasta,en:spaghetti,en:durum-wheat-spaghetti	Groene Punt, Geproduceerd in Italië, fr:Eco-emballages, fr:Fabrique-et-conditionne-en-italie	en:green-dot,en:made-in-italy,fr:eco-emballages,fr:fabrique-et-conditionne-en-italie	België, Frankrijk, Duitsland, Ierland, Roemenië, Spanje, Verenigd Koninkrijk	en:belgium,en:france,en:germany,en:ireland,en:romania,en:spain,en:united-kingdom	Lidl,Oncos	lidl,oncos	0		Europese Unie	en:european-union			Italie	italie			"Hartweizengrieß"	durum wheat semolina			Semoule de _blé_ dur,						Gluten	en:gluten	Eieren, Soja	en:eggs,en:soybeans		100g	100g	1483	kJ			350	kcal			1.2	g			0.3	g			70.5	g			3.2	g			3.5	g			12.5	g			0	g			0	g					1483	kJ																							1	en:bag	en:pp-5-polypropylene	en:discard											en:cereals	en:cereals-and-potatoes,en:cereals		unknown	a	-4	unknown				-5	-8	0	0																App - yuka, Apps, App - Horizon, App - InFood, App - Open Food Facts, App - Speisekammer, App - smoothie-openfoodfacts
7312170095650		de	Spagetti Bolognese																		190g				Semper	semper						Deutschland	en:germany			0																									100g	100g																																																																																				unknown			unknown		1		-5	-15	1	0																App - Speisekammer, Apps
20302467		de	Spagetti																		1pcs				Bio Sonne	bio-sonne				Nutriscore	en:nutriscore	Deutschland	en:germany			0																									100g	100g					350	kcal			1	g			0.2	g			71.8	g			1.6	g			2.8	g			12	g			0.01	g			0.004	g					350	kcal																																								unknown			unknown		1		-5	-15	1	0																App - Speisekammer, Apps
8003007826279		de	Spagetti																		1pcs				Di Bari, Tarall'Oro	di-bari,tarall-oro		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Teigwaren, Spaghettis	en:plant-based-foods-and-beverages,en:plant-based-foods,en:pastas,en:spaghetti	Halal	en:halal	Deutschland	en:germany			0																									100g	100g																																																																																	en:cereals	en:cereals-and-potatoes,en:cereals		unknown			unknown		1		-5	-15	1	0																App - Speisekammer, Apps
